l_code	y	y_est	y_deviation	ranking
ba	0.925	-15.230119573765684	16.155119573765685	115
cv	0.825	-15.230119573765684	16.055119573765683	116
tt	1.500	-14.5107716610127	16.0107716610127	117
glk	0.165	-15.516639451500556	15.681639451500555	118
als	1.700	-13.924141777508119	15.624141777508118	119
min	0.429	-14.987355539200596	15.416355539200596	120
mzn	0.678	-14.728378322104557	15.406378322104558	121
bo	0.682	-14.17867495490661	14.86067495490661	122
ts	0.122	-14.3516846054286	14.4736846054286	123
oc	2.500	-11.826344103130143	14.326344103130143	124
tg	0.868	-13.43823656421989	14.30623656421989	125
sco	1.600	-11.906959113701227	13.506959113701226	126
ckb	1.300	-11.679211002782548	12.979211002782549	127
sk	19.100	6.6621275278125935	12.437872472187408	128
gl	6.600	-5.468821211418643	12.068821211418642	129
ca	32.700	22.477164761867844	10.22283523813216	130
hy	6.500	-3.2961350481283063	9.796135048128306	131
sn	0.267	-8.556381334698877	8.823381334698876	132
gn	0.483	-7.994283432192869	8.47728343219287	133
sq	5.900	-2.2555189924841166	8.155518992484117	134
wo	0.248	-7.728451247847879	7.976451247847879	135
st	0.181	-7.13321201913411	7.31421201913411	136
ku	1.900	-3.9834155310581316	5.883415531058132	137
tn	0.118	-5.634194816119745	5.752194816119745	138
lmo	0.942	-4.625289602432517	5.567289602432517	139
as	0.691	-4.682972249980786	5.373972249980786	140
uk	83.300	79.33167545739039	3.968324542609608	141
ne	1.200	-2.4385636494842338	3.638563649484234	142
sd	0.116	-0.7325787541261022	0.8485787541261022	143
af	5.400	4.732865839395707	0.6671341606042933	144
si	0.872	0.6990705537530246	0.17292944624697537	145
ilo	0.809	3.6489600375610642	-2.839960037561064	146
el	31.900	36.71997526227952	-4.81997526227952	147
ps	0.556	8.27124538478488	-7.71524538478488	148
qu	0.991	10.450583519540249	-9.45958351954025	149
be	8.400	19.644171986340478	-11.244171986340477	150
bs	6.600	17.92498199186532	-11.32498199186532	151
su	1.200	13.795505161861126	-12.595505161861126	152
xh	0.171	13.447051874554933	-13.276051874554934	153
kk	13.200	28.46283567320818	-15.26283567320818	154
ro	46.100	65.76490982656344	-19.664909826563438	155
sr	21.300	42.800014330241424	-21.500014330241424	156
or	0.759	24.399699565550026	-23.640699565550026	157
ml	4.600	29.776466010078376	-25.17646601007838	158
zu	0.296	26.39716547495581	-26.10116547495581	159
bar	1.200	28.393781773328005	-27.193781773328006	160
kn	1.500	32.05303425384761	-30.553034253847613	161
th	64.600	104.2051623281712	-39.605162328171204	162
nds	1.200	41.790544372260825	-40.59054437226082	163
id	140.000	182.4131989241768	-42.41319892417681	164
yo	1.100	43.873759672276606	-42.773759672276604	165
ig	0.602	43.597506986305106	-42.99550698630511	166
gu	0.861	44.31298975680234	-43.45198975680234	167
ceb	2.500	45.994863753234426	-43.494863753234426	168
fa	85.600	134.92453783817666	-49.32453783817667	169
az	9.100	69.57787114928034	-60.47787114928034	170
gan	0.572	61.79767788248208	-61.225677882482074	171
uz	3.000	70.72130534114117	-67.72130534114117	172
zh-min-nan	0.963	71.9599508615452	-70.9969508615452	173
ta	5.500	78.95032238253825	-73.45032238253825	174
mr	3.700	82.56504319661167	-78.86504319661167	175
te	2.600	85.6263770719307	-83.02637707193071	176
jv	2.000	86.11580885647102	-84.11580885647102	177
pnb	0.913	89.00126898215825	-88.08826898215825	178
hak	0.396	92.28449681967146	-91.88849681967146	179
tr	167.000	266.0157427897556	-99.01574278975562	180
sh	11.800	116.46976838287522	-104.66976838287522	181
ms	14.300	119.35799784287717	-105.05799784287717	182
sw	2.500	121.4702982301615	-118.9702982301615	183
