tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
ko-BR	ko	BR	Korean		0.0002			BR	BRA
ko-CN	ko	CN	Korean	official_regional	0.0015			CN	CHN
ko-JP	ko	JP	Korean		0.0052			JP	JPN
ko-KP	ko	KP	Korean	official	0.8800			KP	PRK
ko-KR	ko	KR	Korean	official	1.0000			KR	KOR
ko-US	ko	US	Korean		0.0030			US	USA
koi-RU	koi	RU	Komi-Permyak	official_regional	0.0004			RU	RUS
kok-IN	kok	IN	Konkani	official_regional	0.0037			IN	IND
kos-FM	kos	FM	Kosraean		0.0760			FM	FSM
kpe-GN	kpe	GN	Kpelle		0.0380			GN	GIN
kpe-LR	kpe	LR	Kpelle		0.1400			LR	LBR
krc-RU	krc	RU	Karachay-Balkar	official_regional	0.0016			RU	RUS
kri-SL	kri	SL	Krio		0.9500	R1162		SL	SLE
krj-PH	krj	PH	Kinaray-a		0.0039			PH	PHL
krl-RU	krl	RU	Karelian		0.0008			RU	RUS
kru-IN	kru	IN	Kurukh		0.0019			IN	IND
ks_Arab-GB	ks_Arab	GB	Kashmiri (Arabic)		0.0019			GB	GBR
ks_Arab-IN	ks_Arab	IN	Kashmiri (Arabic)	official_regional	0.0041			IN	IND
ks_Arab-PK	ks_Arab	PK	Kashmiri (Arabic)		0.0007			PK	PAK
ksb-TZ	ksb	TZ	Shambala		0.0170			TZ	TZA
ksf-CM	ksf	CM	Bafia		0.0032			CM	CMR
ksh-DE	ksh	DE	Colognian		0.0030	R1174		DE	DEU
ku_Arab-LB	ku_Arab	LB	Kurdish (Arabic)		0.0160			LB	LBN
ku_Latn-AM	ku_Latn	AM	Kurdish (Latin)		0.0330			AM	ARM
ku_Latn-AZ	ku_Latn	AZ	Kurdish (Latin)		0.0024			AZ	AZE
ku_Latn-DE	ku_Latn	DE	Kurdish (Latin)		0.0066			DE	DEU
ku_Latn-GE	ku_Latn	GE	Kurdish (Latin)		0.0089			GE	GEO
ku_Latn-SY	ku_Latn	SY	Kurdish (Latin)		0.0800			SY	SYR
ku_Latn-TM	ku_Latn	TM	Kurdish (Latin)		0.0041			TM	TKM
ku_Latn-TR	ku_Latn	TR	Kurdish (Latin)		0.0550			TR	TUR
kum-RU	kum	RU	Kumyk	official_regional	0.0020			RU	RUS
kv-RU	kv	RU	Komi	official_regional	0.0018			RU	RUS
kvr-ID	kvr	ID	Kerinci		0.0014			ID	IDN
kvx-PK	kvx	PK	Parkari Koli		0.0016			PK	PAK
kw-GB	kw	GB	Cornish		0.0000	R1140		GB	GBR
kxm-TH	kxm	TH	Northern Khmer		0.0170			TH	THA
kxp-PK	kxp	PK	Wadiyara Koli		0.0012			PK	PAK
ky_Arab-CN	ky_Arab	CN	Kyrgyz (Arabic)		0.0003			CN	CHN
ky_Cyrl-KG	ky_Cyrl	KG	Kyrgyz (Cyrillic)	official	0.4800			KG	KGZ
ky_Latn-TR	ky_Latn	TR	Kyrgyz (Latin)		0.0000			TR	TUR
la-VA	la	VA	Latin		0.9800	R1284		VA	VAT
lad-IL	lad	IL	Ladino		0.0130	R1301		IL	ISR
lag-TZ	lag	TZ	Langi		0.0087	R1188		TZ	TZA
lah-IN	lah	IN	Lahnda		0.0000			IN	IND
lah-PK	lah	PK	Lahnda		0.4000			PK	PAK
laj-UG	laj	UG	Lango (Uganda)		0.0380			UG	UGA
lb-LU	lb	LU	Luxembourgish	official	0.6700	R1024	5	LU	LUX
lbe-RU	lbe	RU	Lak	official_regional	0.0008			RU	RUS
lbw-ID	lbw	ID	Tolaki		0.0013			ID	IDN
lcp-CN	lcp	CN	Western Lawa		0.0001			CN	CHN
lcp-TH	lcp	TH	Western Lawa		0.0001		25	TH	THA
lep-BT	lep	BT	Lepcha		0.0390			BT	BTN
lep-IN	lep	IN	Lepcha		0.0000			IN	IND
lep-NP	lep	NP	Lepcha		0.0001			NP	NPL
lez-RU	lez	RU	Lezghian	official_regional	0.0018			RU	RUS
lg-UG	lg	UG	Ganda		0.1300			UG	UGA
li-NL	li	NL	Limburgish		0.0550	R1026	5	NL	NLD
lif_Deva-IN	lif_Deva	IN	lif (Devanagari)		0.0000			IN	IND
