tag	type	c_code	l_name	officialStatus	populationPercent	references	writingPercent	geo	ISO
aa-DJ	aa	DJ	Afar		0.4200			DJ	DJI
aa-ER	aa	ER	Afar		0.0360			ER	ERI
aa-ET	aa	ET	Afar		0.0140			ET	ETH
ab-GE	ab	GE	Abkhazian	official_regional	0.0220			GE	GEO
ab-TR	ab	TR	Abkhazian		0.0000	R1079		TR	TUR
abr-GH	abr	GH	Abron		0.0500			GH	GHA
ace-ID	ace	ID	Achinese		0.0140			ID	IDN
ach-UG	ach	UG	Acoli		0.0370	R1283		UG	UGA
ada-GH	ada	GH	Adangme		0.0300			GH	GHA
ady-RU	ady	RU	Adyghe	official_regional	0.0009			RU	RUS
ady-TR	ady	TR	Adyghe		0.0039			TR	TUR
aeb-TN	aeb	TN	Tunisian Arabic		0.9000			TN	TUN
af-BW	af	BW	Afrikaans		0.0028			BW	BWA
af-NA	af	NA	Afrikaans		0.7500	R1256		NA	NAM
af-ZA	af	ZA	Afrikaans	official_regional	0.1300		99	ZA	ZAF
agq-CM	agq	CM	Aghem		0.0014		20	CM	CMR
ak-GH	ak	GH	Akan	official_regional	0.3900			GH	GHA
aln-XK	aln	XK	Gheg Albanian		0.7400	R1305		XK	XKK
alt-RU	alt	RU	Southern Altai		0.0001			RU	RUS
am-ET	am	ET	Amharic	official	0.3300			ET	ETH
am-IL	am	IL	Amharic		0.0059			IL	ISR
amo-NG	amo	NG	Amo		0.0001			NG	NGA
aoz-ID	aoz	ID	Uab Meto		0.0027			ID	IDN
ar-AE	ar	AE	Arabic	official	0.7800			AE	ARE
ar-BH	ar	BH	Arabic	official	0.8700	R1007		BH	BHR
ar-CM	ar	CM	Arabic		0.0039			CM	CMR
ar-CY	ar	CY	Arabic		0.0011			CY	CYP
ar-DJ	ar	DJ	Arabic	official	0.0730			DJ	DJI
ar-DZ	ar	DZ	Arabic	official	0.7400			DZ	DZA
ar-EG	ar	EG	Arabic	official	0.9400			EG	EGY
ar-EH	ar	EH	Arabic	official	1.0000			EH	ESH
ar-ER	ar	ER	Arabic	official	0.0490	R1032	5	ER	ERI
ar-IL	ar	IL	Arabic	official	0.2000			IL	ISR
ar-IQ	ar	IQ	Arabic	official	0.6800			IQ	IRQ
ar-IR	ar	IR	Arabic		0.0200			IR	IRN
ar-JO	ar	JO	Arabic	official	1.0000	R1036		JO	JOR
ar-KE	ar	KE	Arabic		0.0005			KE	KEN
ar-KM	ar	KM	Arabic	official	0.6600			KM	COM
ar-KW	ar	KW	Arabic	official	1.0000			KW	KWT
ar-LB	ar	LB	Arabic	official	0.8600			LB	LBN
ar-LY	ar	LY	Arabic	official	0.7400			LY	LBY
ar-MA	ar	MA	Arabic	official	0.6200			MA	MAR
ar-ML	ar	ML	Arabic		0.0089			ML	MLI
ar-MR	ar	MR	Arabic	official	0.8500			MR	MRT
ar-NE	ar	NE	Arabic		0.0021			NE	NER
ar-NG	ar	NG	Arabic		0.0007			NG	NGA
ar-OM	ar	OM	Arabic	official	0.8100			OM	OMN
ar-PS	ar	PS	Arabic	official	1.0000			PS	PSE
ar-QA	ar	QA	Arabic	official	0.8900			QA	QAT
ar-SA	ar	SA	Arabic	official	1.0000			SA	SAU
ar-SD	ar	SD	Arabic	official	0.6100	R1234		SD	SDN
ar-SO	ar	SO	Arabic	official	0.3400	R1236	99	SO	SOM
ar-SS	ar	SS	Arabic		0.2700	R1237		SS	SSD
ar-SY	ar	SY	Arabic	official	0.8000			SY	SYR
ar-TD	ar	TD	Arabic	official	0.1700	R1239		TD	TCD
ar-TJ	ar	TJ	Arabic		0.0001			TJ	TJK
ar-TN	ar	TN	Arabic	official	0.9000			TN	TUN
ar-TR	ar	TR	Arabic		0.0056			TR	TUR
ar-YE	ar	YE	Arabic	official	0.7400			YE	YEM
arn-CL	arn	CL	Mapuche		0.0150	R1287		CL	CHL
aro-BO	aro	BO	Araona		0.0000			BO	BOL
arq-DZ	arq	DZ	Algerian Arabic		0.8300			DZ	DZA
ary-MA	ary	MA	Moroccan Arabic		0.8700			MA	MAR
arz-EG	arz	EG	Egyptian Arabic		0.6400			EG	EGY
as-IN	as	IN	Assamese	official_regional	0.0130			IN	IND
asa-TZ	asa	TZ	Asu		0.0120	R1187		TZ	TZA
ast-ES	ast	ES	Asturian	official_regional	0.0130	R1096		ES	ESP
atj-CA	atj	CA	Atikamekw		0.0002	R1063		CA	CAN
av-RU	av	RU	Avaric	official_regional	0.0039			RU	RUS
awa-IN	awa	IN	Awadhi		0.0190		5	IN	IND
awa-NP	awa	NP	Awadhi		0.0220			NP	NPL
ay-BO	ay	BO	Aymara	official	0.2000			BO	BOL
ay-PE	ay	PE	Aymara		0.0160			PE	PER
az_Arab-IR	az_Arab	IR	Azerbaijani (Arabic)		0.2400			IR	IRN
az_Cyrl-AZ	az_Cyrl	AZ	Azerbaijani (Cyrillic)	official	0.0990	R1121		AZ	AZE
az_Cyrl-RU	az_Cyrl	RU	Azerbaijani (Cyrillic)	official_regional	0.0009	R1261		RU	RUS
az_Latn-AM	az_Latn	AM	Azerbaijani (Latin)		0.0000	R1290		AM	ARM
az_Latn-AZ	az_Latn	AZ	Azerbaijani (Latin)	official	0.8900	R1120		AZ	AZE
az_Latn-TR	az_Latn	TR	Azerbaijani (Latin)		0.0074			TR	TUR
azb-IR	azb	IR	South Azerbaijani		0.2400			IR	IRN
ba-RU	ba	RU	Bashkir	official_regional	0.0130			RU	RUS
bal-AE	bal	AE	Baluchi		0.0230			AE	ARE
bal-AF	bal	AF	Baluchi	official_regional	0.0067			AF	AFG
bal-IR	bal	IR	Baluchi		0.0200			IR	IRN
bal-OM	bal	OM	Baluchi		0.0490			OM	OMN
bal-PK	bal	PK	Baluchi		0.0370			PK	PAK
ban-ID	ban	ID	Balinese		0.0180	R1144	10	ID	IDN
bap-NP	bap	NP	Bantawa		0.0150			NP	NPL
bar-AT	bar	AT	Bavarian		0.9500			AT	AUT
bas-CM	bas	CM	Basaa		0.0120	R1241	25	CM	CMR
bax-CM	bax	CM	Bamun		0.0120			CM	CMR
bbc-ID	bbc	ID	Batak Toba		0.0092			ID	IDN
bbj-CM	bbj	CM	Ghomala		0.0140	R1147	25	CM	CMR
bci-CI	bci	CI	Baoulé		0.1100		10	CI	CIV
be-BY	be	BY	Belarusian	official	1.0000			BY	BLR
be-PL	be	PL	Belarusian		0.0058			PL	POL
be-UA	be	UA	Belarusian		0.0083			UA	UKR
bem-ZM	bem	ZM	Bemba		0.3100	R1104		ZM	ZMB
bew-ID	bew	ID	Betawi		0.0210			ID	IDN
bez-TZ	bez	TZ	Bena		0.0170			TZ	TZA
bfd-CM	bfd	CM	Bafut		0.0057	R1243	30	CM	CMR
bfq-IN	bfq	IN	Badaga		0.0002			IN	IND
bft-IN	bft	IN	Balti		0.0001			IN	IND
bft-PK	bft	PK	Balti		0.0018			PK	PAK
bfy-IN	bfy	IN	Bagheli		0.0004			IN	IND
bfy-NP	bfy	NP	Bagheli		0.0054			NP	NPL
bg-BG	bg	BG	Bulgarian	official	1.0000			BG	BGR
bg-GR	bg	GR	Bulgarian		0.0027			GR	GRC
bg-MD	bg	MD	Bulgarian		0.0940			MD	MDA
bg-RO	bg	RO	Bulgarian		0.0003			RO	ROU
bg-TR	bg	TR	Bulgarian		0.0042			TR	TUR
bg-UA	bg	UA	Bulgarian		0.0049			UA	UKR
bgc-IN	bgc	IN	Haryanvi		0.0120	R1146	55	IN	IND
bgx-TR	bgx	TR	Balkan Gagauz Turkish		0.0046			TR	TUR
bhb-IN	bhb	IN	Bhili		0.0012			IN	IND
bhi-IN	bhi	IN	Bhilali		0.0009			IN	IND
bhk-PH	bhk	PH	Albay Bicolano		0.0230			PH	PHL
bho-IN	bho	IN	Bhojpuri		0.0230		30	IN	IND
bho-MU	bho	MU	Bhojpuri		0.2700			MU	MUS
bho-NP	bho	NP	Bhojpuri		0.0680			NP	NPL
bi-VU	bi	VU	Bislama	official	0.9000	R1201		VU	VUT
bik-PH	bik	PH	Bikol		0.0300			PH	PHL
bin-NG	bin	NG	Bini		0.0071	R1276		NG	NGA
bjj-IN	bjj	IN	Kanauji		0.0056		60	IN	IND
bjn-ID	bjn	ID	Banjar		0.0150		10	ID	IDN
bjn-MY	bjn	MY	Banjar		0.0002			MY	MYS
bkm-CM	bkm	CM	Kom		0.0130	R1217	5	CM	CMR
bku-PH	bku	PH	Buhid		0.0001			PH	PHL
bm_Latn-ML	bm_Latn	ML	Bambara (Latin)		0.4600			ML	MLI
bm_Nkoo-ML	bm_Nkoo	ML	Bambara (N’Ko)		0.0200	R1291		ML	MLI
bmq-ML	bmq	ML	Bomu		0.0086			ML	MLI
bn-BD	bn	BD	Bengali	official	0.9800			BD	BGD
bn-GB	bn	GB	Bengali		0.0067			GB	GBR
bn-IN	bn	IN	Bengali	official_regional	0.0810	R1195		IN	IND
bn-NP	bn	NP	Bengali		0.0009			NP	NPL
bo-CN	bo	CN	Tibetan	official_regional	0.0020			CN	CHN
bo-IN	bo	IN	Tibetan		0.0001			IN	IND
bo-NP	bo	NP	Tibetan		0.0024			NP	NPL
bpy-IN	bpy	IN	Bishnupriya		0.0001			IN	IND
bqi-IR	bqi	IR	Bakhtiari		0.0140			IR	IRN
bqv-CI	bqv	CI	Koro Wachi		0.0017		10	CI	CIV
br-FR	br	FR	Breton		0.0083	R1138	3	FR	FRA
bra-IN	bra	IN	Braj		0.0000			IN	IND
brh-PK	brh	PK	Brahui		0.0130			PK	PAK
brx-IN	brx	IN	Bodo		0.0014			IN	IND
bs_Cyrl-BA	bs_Cyrl	BA	Bosnian (Cyrillic)	official	0.9900	R1083	5	BA	BIH
bs_Latn-BA	bs_Latn	BA	Bosnian (Latin)	official	0.9900			BA	BIH
bss-CM	bss	CM	Akoose		0.0054	R1244	30	CM	CMR
bto-PH	bto	PH	Rinconada Bikol		0.0028			PH	PHL
btv-IN	btv	IN	Bateri		0.0000			IN	IND
btv-PK	btv	PK	Bateri		0.0002			PK	PAK
bua-RU	bua	RU	Buriat		0.0022			RU	RUS
buc-YT	buc	YT	Bushi		0.2300			YT	MYT
bug-ID	bug	ID	Buginese		0.0160	R1145	10	ID	IDN
bug-MY	bug	MY	Buginese		0.0008	R1056		MY	MYS
bum-CM	bum	CM	Bulu		0.0460			CM	CMR
bvb-GQ	bvb	GQ	Bube		0.0790			GQ	GNQ
byn-ER	byn	ER	Blin		0.0130	R1224		ER	ERI
byv-CM	byv	CM	Medumba		0.0110	R1242	15	CM	CMR
bze-ML	bze	ML	Jenaama Bozo		0.0084			ML	MLI
ca-AD	ca	AD	Catalan	official	0.5100			AD	AND
ca-ES	ca	ES	Catalan	official_regional	0.1700	R1177		ES	ESP
ca-FR	ca	FR	Catalan		0.0017			FR	FRA
ca-IT	ca	IT	Catalan		0.0004			IT	ITA
cch-NG	cch	NG	Atsam		0.0002			NG	NGA
ccp-BD	ccp	BD	Chakma		0.0022			BD	BGD
ccp-IN	ccp	IN	Chakma		0.0003			IN	IND
ce-RU	ce	RU	Chechen	official_regional	0.0066			RU	RUS
ceb-PH	ceb	PH	Cebuano	official_regional	0.2400	R1157	13	PH	PHL
cgg-UG	cgg	UG	Chiga		0.0540			UG	UGA
ch-GU	ch	GU	Chamorro	official	0.2200			GU	GUM
ch-MP	ch	MP	Chamorro		0.1800			MP	MNP
chk-FM	chk	FM	Chuukese		0.3000			FM	FSM
chm-RU	chm	RU	Mari		0.0037	R1101		RU	RUS
cho-US	cho	US	Choctaw		0.0000			US	USA
chp-CA	chp	CA	Chipewyan		0.0000	R1063		CA	CAN
chr-US	chr	US	Cherokee		0.0001	R1017	5	US	USA
cja-KH	cja	KH	Western Cham		0.0160			KH	KHM
cjm-VN	cjm	VN	Eastern Cham		0.0009		60	VN	VNM
ckb-IQ	ckb	IQ	Sorani Kurdish	official_regional	0.2000	R1073		IQ	IRQ
ckb-IR	ckb	IR	Sorani Kurdish		0.0390	R1212		IR	IRN
co-FR	co	FR	Corsican		0.0057	R1012	5	FR	FRA
cps-PH	cps	PH	Capiznon		0.0067			PH	PHL
cr_Cans-CA	cr_Cans	CA	Cree (Unified Canadian Aboriginal Syllabics)		0.0011	R1063		CA	CAN
crj-CA	crj	CA	Southern East Cree		0.0002	R1063		CA	CAN
crk-CA	crk	CA	Plains Cree		0.0011	R1063		CA	CAN
crl-CA	crl	CA	Northern East Cree		0.0001	R1063		CA	CAN
crm-CA	crm	CA	Moose Cree		0.0001	R1063		CA	CAN
crs-SC	crs	SC	Seselwa Creole French		0.9800	R1160		SC	SYC
cs-CZ	cs	CZ	Czech	official	0.9800			CZ	CZE
csb-PL	csb	PL	Kashubian	official_regional	0.0013	R1213		PL	POL
csw-CA	csw	CA	Swampy Cree		0.0001	R1063		CA	CAN
cu-RU	cu	RU	Church Slavic		0.0000	R1279		RU	RUS
cv-RU	cv	RU	Chuvash		0.0130	R1159		RU	RUS
cy-AR	cy	AR	Welsh		0.0007			AR	ARG
cy-GB	cy	GB	Welsh	official_regional	0.0077			GB	GBR
da-DE	da	DE	Danish		0.0200	R1306		DE	DEU
da-DK	da	DK	Danish	official	0.9300			DK	DNK
da-GL	da	GL	Danish		0.1400			GL	GRL
da-IS	da	IS	Danish		0.0071			IS	ISL
dak-US	dak	US	Dakota		0.0001			US	USA
dar-RU	dar	RU	Dargwa		0.0026			RU	RUS
dav-KE	dav	KE	Taita		0.0082		5	KE	KEN
dcc-IN	dcc	IN	Deccan		0.0099			IN	IND
de-AT	de	AT	German	official	0.9700			AT	AUT
de-BE	de	BE	German	official	0.0140			BE	BEL
de-BR	de	BR	German		0.0084			BR	BRA
de-CA	de	CA	German		0.0190			CA	CAN
de-CH	de	CH	German	official	0.7300			CH	CHE
de-CZ	de	CZ	German		0.0049			CZ	CZE
de-DE	de	DE	German	official	0.9100			DE	DEU
de-DK	de	DK	German	official_regional	0.0043	R1247		DK	DNK
de-HU	de	HU	German		0.0250			HU	HUN
de-IT	de	IT	German		0.0160	R1251		IT	ITA
de-KZ	de	KZ	German		0.0640			KZ	KAZ
de-LI	de	LI	German	official	1.0000	R1039		LI	LIE
de-LU	de	LU	German	official	0.6300			LU	LUX
de-NA	de	NA	German		0.0100			NA	NAM
de-PL	de	PL	German	official_regional	0.0010	R1277		PL	POL
de-PY	de	PY	German		0.0290			PY	PRY
de-RO	de	RO	German		0.0021			RO	ROU
de-SK	de	SK	German		0.0028			SK	SVK
de-US	de	US	German		0.0047			US	USA
den-CA	den	CA	Slave		0.0001			CA	CAN
dgr-CA	dgr	CA	Dogrib		0.0001	R1136		CA	CAN
dje-NE	dje	NE	Zarma		0.1700			NE	NER
dnj-CI	dnj	CI	Dan		0.0400		1	CI	CIV
doi-IN	doi	IN	Dogri		0.0019			IN	IND
dsb-DE	dsb	DE	Lower Sorbian		0.0001	R1222	5	DE	DEU
dtm-ML	dtm	ML	Tomo Kan Dogon		0.0110			ML	MLI
dtp-MY	dtp	MY	Central Dusun		0.0056			MY	MYS
dua-CM	dua	CM	Duala		0.0048	R1245	25	CM	CMR
dv-IN	dv	IN	Divehi		0.0000			IN	IND
dv-MV	dv	MV	Divehi	official	0.9400			MV	MDV
dyo-SN	dyo	SN	Jola-Fonyi		0.0260	R1281	10	SN	SEN
dyu-BF	dyu	BF	Dyula		0.3200	R1091		BF	BFA
dz-BT	dz	BT	Dzongkha	official	0.4700			BT	BTN
dz-IN	dz	IN	Dzongkha		0.0000			IN	IND
ebu-KE	ebu	KE	Embu		0.0150		1	KE	KEN
ee-GH	ee	GH	Ewe	official_regional	0.1100			GH	GHA
ee-TG	ee	TG	Ewe		0.1700			TG	TGO
efi-NG	efi	NG	Efik		0.0140	R1099		NG	NGA
egl-IT	egl	IT	Emilian		0.0005	R1302		IT	ITA
el-AL	el	AL	Greek		0.0190			AL	ALB
el-CY	el	CY	Greek	official	0.7500			CY	CYP
el-DE	el	DE	Greek		0.0038			DE	DEU
el-EG	el	EG	Greek		0.0006			EG	EGY
el-GB	el	GB	Greek		0.0034			GB	GBR
el-GR	el	GR	Greek	official	0.9900	R1211		GR	GRC
el-IT	el	IT	Greek		0.0004			IT	ITA
el-RO	el	RO	Greek		0.0002			RO	ROU
el-TR	el	TR	Greek		0.0000			TR	TUR
el-UA	el	UA	Greek		0.0002			UA	UKR
en-AC	en	AC	English		0.9900	R1020		AC	ASC
en-AG	en	AG	English	official	0.8600			AG	ATG
en-AI	en	AI	English	official	0.9500			AI	AIA
en-AR	en	AR	English		0.0700			AR	ARG
en-AS	en	AS	English	de_facto_official	0.9700			AS	ASM
en-AT	en	AT	English		0.7300			AT	AUT
en-AU	en	AU	English	de_facto_official	0.9600	R1001		AU	AUS
en-AW	en	AW	English		0.0270			AW	ABW
en-BA	en	BA	English		0.4500			BA	BIH
en-BB	en	BB	English	official	1.0000			BB	BRB
en-BD	en	BD	English		0.1800			BD	BGD
en-BE	en	BE	English		0.5900	R1052		BE	BEL
en-BG	en	BG	English		0.2500			BG	BGR
en-BM	en	BM	English	official	0.9200			BM	BMU
en-BN	en	BN	English		0.0190			BN	BRN
en-BR	en	BR	English		0.0800			BR	BRA
en-BS	en	BS	English	official	1.0000			BS	BHS
en-BT	en	BT	English		0.1100			BT	BTN
en-BW	en	BW	English	official	0.8100	R1009		BW	BWA
en-BZ	en	BZ	English	official	1.0000			BZ	BLZ
en-CA	en	CA	English	official	0.8600	R1194		CA	CAN
en-CC	en	CC	English	de_facto_official	0.1700			CC	CCK
en-CH	en	CH	English		0.6100	R1137		CH	CHE
en-CK	en	CK	English	official	0.9500			CK	COK
en-CL	en	CL	English		0.0950			CL	CHL
en-CM	en	CM	English	official	0.3800	R1013		CM	CMR
en-CN	en	CN	English		0.0000			CN	CHN
en-CX	en	CX	English	official	0.9200			CX	CXR
en-CY	en	CY	English		0.7300			CY	CYP
en-CZ	en	CZ	English		0.2700			CZ	CZE
en-DE	en	DE	English		0.6400			DE	DEU
en-DG	en	DG	English	de_facto_official	0.9900	R1065		DG	DGA
en-DK	en	DK	English		0.8600			DK	DNK
en-DM	en	DM	English	official	0.9400			DM	DMA
en-DO	en	DO	English		0.0008			DO	DOM
en-DZ	en	DZ	English		0.0700			DZ	DZA
en-EG	en	EG	English		0.3500			EG	EGY
en-ER	en	ER	English	official	0.5900	R1248		ER	ERI
en-ES	en	ES	English		0.2400			ES	ESP
en-ET	en	ET	English		0.4300			ET	ETH
en-FI	en	FI	English		0.7000	R1110		FI	FIN
en-FJ	en	FJ	English	official	0.9400			FJ	FJI
en-FK	en	FK	English	official	0.9900			FK	FLK
en-FM	en	FM	English	official	0.5700			FM	FSM
en-FR	en	FR	English		0.3900			FR	FRA
en-GB	en	GB	English	official	0.9900			GB	GBR
en-GD	en	GD	English	official	0.9600	R1018		GD	GRD
en-GG	en	GG	English	official	1.0000			GG	GGY
en-GH	en	GH	English	official	0.2100	R1225		GH	GHA
en-GI	en	GI	English	official	0.8000	R1022		GI	GIB
en-GM	en	GM	English	official	0.4000			GM	GMB
en-GR	en	GR	English		0.5100			GR	GRC
en-GU	en	GU	English	de_facto_official	0.9100			GU	GUM
en-GY	en	GY	English	official	1.0000			GY	GUY
en-HK	en	HK	English	official	0.5100			HK	HKG
en-HN	en	HN	English		0.0044			HN	HND
en-HR	en	HR	English		0.4900			HR	HRV
en-HU	en	HU	English		0.2000			HU	HUN
en-IE	en	IE	English	official	0.9800	R1202		IE	IRL
en-IL	en	IL	English		0.8500			IL	ISR
en-IM	en	IM	English	official	1.0000			IM	IMN
en-IN	en	IN	English	official	0.1900	R1033		IN	IND
en-IO	en	IO	English	official	1.0000	R1179	100	IO	IOT
en-IQ	en	IQ	English		0.3500			IQ	IRQ
en-IT	en	IT	English		0.3400			IT	ITA
en-JE	en	JE	English	official	0.9500			JE	JEY
en-JM	en	JM	English	official	0.9800			JM	JAM
en-JO	en	JO	English		0.4500	R1036		JO	JOR
en-KE	en	KE	English	official	0.1900			KE	KEN
en-KI	en	KI	English	official	1.0000	R1037		KI	KIR
en-KN	en	KN	English	official	0.9800			KN	KNA
en-KY	en	KY	English	official	0.9800			KY	CYM
en-KZ	en	KZ	English		0.1500			KZ	KAZ
en-LB	en	LB	English		0.4000			LB	LBN
en-LC	en	LC	English	official	0.9000			LC	LCA
en-LK	en	LK	English		0.1000			LK	LKA
en-LR	en	LR	English	official	0.8300	R1046		LR	LBR
en-LS	en	LS	English	official	0.2700	R1047		LS	LSO
en-LT	en	LT	English		0.3800			LT	LTU
en-MA	en	MA	English		0.1400	R1050		MA	MAR
en-MG	en	MG	English	official	0.1800	R1118		MG	MDG
en-MH	en	MH	English	official	0.9300			MH	MHL
en-MO	en	MO	English		0.0230	R1273		MO	MAC
en-MP	en	MP	English	de_facto_official	0.9700			MP	MNP
en-MS	en	MS	English	official	0.6700			MS	MSR
en-MT	en	MT	English	official	0.8800			MT	MLT
en-MU	en	MU	English	official	0.7200	R1152		MU	MUS
en-MW	en	MW	English	official	0.6300			MW	MWI
en-MX	en	MX	English		0.1300			MX	MEX
en-MY	en	MY	English		0.2100			MY	MYS
en-NA	en	NA	English	official	0.0700			NA	NAM
en-NF	en	NF	English	official	0.7600			NF	NFK
en-NG	en	NG	English	official	0.5300			NG	NGA
en-NL	en	NL	English		0.9000	R1070		NL	NLD
en-NP	en	NP	English		0.0300			NP	NPL
en-NR	en	NR	English	official	0.9900			NR	NRU
en-NU	en	NU	English	official	0.9500			NU	NIU
en-NZ	en	NZ	English	de_facto_official	0.9800	R1203		NZ	NZL
en-PA	en	PA	English		0.1400			PA	PAN
en-PG	en	PG	English	official	0.5000	R1156		PG	PNG
en-PH	en	PH	English	official	0.6400	R1157		PH	PHL
en-PK	en	PK	English	official	0.5000	R1106		PK	PAK
en-PL	en	PL	English		0.3300	R1277		PL	POL
en-PM	en	PM	English		0.0330			PM	SPM
en-PN	en	PN	English	official	0.9600			PN	PCN
en-PR	en	PR	English	de_facto_official	0.4900	R1072		PR	PRI
en-PT	en	PT	English		0.2700			PT	PRT
en-PW	en	PW	English	official	0.0890	R1059		PW	PLW
en-RO	en	RO	English		0.3100			RO	ROU
en-RW	en	RW	English	official	0.1500	R1054		RW	RWA
en-SB	en	SB	English	official	1.0000	R1045		SB	SLB
en-SC	en	SC	English	official	0.3800			SC	SYC
en-SD	en	SD	English	official	0.6100	R1235		SD	SDN
en-SE	en	SE	English		0.8600			SE	SWE
en-SG	en	SG	English	official	0.9300	R1131		SG	SGP
en-SH	en	SH	English	official	0.6900			SH	SHN
en-SI	en	SI	English		0.5900			SI	SVN
en-SK	en	SK	English		0.2600			SK	SVK
en-SL	en	SL	English	official	0.3500			SL	SLE
en-SS	en	SS	English	official	0.2700	R1237		SS	SSD
en-SX	en	SX	English	official	0.6800	R1238		SX	SXM
en-SZ	en	SZ	English	official	0.8000	R1071		SZ	SWZ
en-TA	en	TA	English		0.9900			TA	TAA
en-TC	en	TC	English	official	0.9800			TC	TCA
en-TH	en	TH	English		0.2700			TH	THA
en-TK	en	TK	English	official	1.0000			TK	TKL
en-TO	en	TO	English	official	0.2800	R1078		TO	TON
en-TR	en	TR	English		0.1700			TR	TUR
en-TT	en	TT	English	official	0.8800			TT	TTO
en-TV	en	TV	English	official	0.0990	R1080		TV	TUV
en-TZ	en	TZ	English	official	0.6900	R1081		TZ	TZA
en-UG	en	UG	English	official	0.0390	R1082		UG	UGA
en-UM	en	UM	English	de_facto_official	1.0000	R1190		UM	UMI
en-US	en	US	English	de_facto_official	0.9600			US	USA
en-VC	en	VC	English	official	0.9600			VC	VCT
en-VG	en	VG	English	official	0.9800			VG	VGB
en-VI	en	VI	English	de_facto_official	0.7500			VI	VIR
en-VU	en	VU	English	official	0.8300			VU	VUT
en-WS	en	WS	English	official	0.0220			WS	WSM
en-YE	en	YE	English		0.0900			YE	YEM
en-ZA	en	ZA	English	official	0.3100	R1265	99	ZA	ZAF
en-ZM	en	ZM	English	official	0.1600			ZM	ZMB
en-ZW	en	ZW	English	official	0.4200	R1171		ZW	ZWE
eo-SM	eo	SM	Esperanto		0.0092	R1268		SM	SMR
es-AD	es	AD	Spanish		0.4300			AD	AND
es-AR	es	AR	Spanish	official	1.0000			AR	ARG
es-BO	es	BO	Spanish	official	0.6100	R1191		BO	BOL
es-BZ	es	BZ	Spanish		0.2800			BZ	BLZ
es-CL	es	CL	Spanish	official	0.9800	R1192		CL	CHL
es-CO	es	CO	Spanish	official	0.9300	R1014		CO	COL
es-CR	es	CR	Spanish	official	0.9500	R1193		CR	CRI
es-CU	es	CU	Spanish	official	1.0000			CU	CUB
es-CW	es	CW	Spanish		0.0390	R1221		CW	CUW
es-DE	es	DE	Spanish		0.0600	R1304		DE	DEU
es-DO	es	DO	Spanish	official	0.7800			DO	DOM
es-EA	es	EA	Spanish	official	0.9800	R1067		EA	
es-EC	es	EC	Spanish	official	0.9600	R1210		EC	ECU
es-ES	es	ES	Spanish	official	0.9900	R1176		ES	ESP
es-GQ	es	GQ	Spanish	official	0.8700	R1142		GQ	GNQ
es-GT	es	GT	Spanish	official	0.9300	R1227		GT	GTM
es-HN	es	HN	Spanish	official	0.7800			HN	HND
es-IC	es	IC	Spanish	official	0.9800	R1075		IC	
es-MA	es	MA	Spanish		0.0006			MA	MAR
es-MX	es	MX	Spanish	de_facto_official	0.8300			MX	MEX
es-NI	es	NI	Spanish	official	0.7800			NI	NIC
es-PA	es	PA	Spanish	official	0.6900			PA	PAN
es-PE	es	PE	Spanish	official	0.7300			PE	PER
es-PH	es	PH	Spanish		0.3100			PH	PHL
es-PR	es	PR	Spanish	official	0.8700			PR	PRI
es-PY	es	PY	Spanish	official	0.0320			PY	PRY
es-SV	es	SV	Spanish	official	0.8900			SV	SLV
es-SX	es	SX	Spanish		0.1200	R1238		SX	SXM
es-TT	es	TT	Spanish		0.0033			TT	TTO
es-US	es	US	Spanish	official_regional	0.0960			US	USA
es-UY	es	UY	Spanish	official	0.8800			UY	URY
es-VE	es	VE	Spanish	official	0.8200			VE	VEN
esu-US	esu	US	Central Yupik		0.0001			US	USA
et-EE	et	EE	Estonian	official	0.7100			EE	EST
et-FI	et	FI	Estonian		0.0011			FI	FIN
eu-ES	eu	ES	Basque	official_regional	0.0200	R1177		ES	ESP
eu-FR	eu	FR	Basque		0.0013			FR	FRA
ewo-CM	ewo	CM	Ewondo		0.0310	R1025	15	CM	CMR
ext-ES	ext	ES	Extremaduran		0.0049			ES	ESP
fa-AE	fa	AE	Persian		0.0190			AE	ARE
fa-AF	fa	AF	Persian	official	0.5000			AF	AFG
fa-IQ	fa	IQ	Persian		0.0087			IQ	IRQ
fa-IR	fa	IR	Persian	official	0.7500			IR	IRN
fa-OM	fa	OM	Persian		0.0094			OM	OMN
fa-PK	fa	PK	Persian		0.0066			PK	PAK
fa-QA	fa	QA	Persian		0.1100			QA	QAT
fa-TJ	fa	TJ	Persian		0.0078			TJ	TJK
fan-GQ	fan	GQ	Fang		0.5100			GQ	GNQ
ff-CM	ff	CM	Fulah		0.0360	R1216		CM	CMR
ff-GN	ff	GN	Fulah		0.2600			GN	GIN
ff-MR	ff	MR	Fulah		0.0570			MR	MRT
ff-SN	ff	SN	Fulah		0.2100			SN	SEN
ffm-ML	ffm	ML	Maasina Fulfulde		0.0770			ML	MLI
fi-FI	fi	FI	Finnish	official	0.9400			FI	FIN
fi-RU	fi	RU	Finnish		0.0001			RU	RUS
fi-SE	fi	SE	Finnish	official_regional	0.0220			SE	SWE
fil-PH	fil	PH	Filipino	official	0.6000	R1028		PH	PHL
fil-US	fil	US	Filipino		0.0042			US	USA
fit-SE	fit	SE	Tornedalen Finnish		0.0055			SE	SWE
fj-FJ	fj	FJ	Fijian	official	0.3900			FJ	FJI
fo-FO	fo	FO	Faroese	official	0.9500			FO	FRO
