l_code	y	y_est	y_deviation_perc	ranking
kaa	0.230	-41.51031320053855	-1.0055407917278016	180
pag	0.219	-39.93082694532778	-1.0054844844635913	181
av	0.212	-38.80934523349532	-1.005462601822435	182
tet	0.198	-40.80561570581643	-1.0048522733103076	183
st	0.181	-28.14072769760333	-1.0064319587590274	184
koi	0.179	-41.7371139503033	-1.0042887488630177	185
haw	0.176	-41.756283706105776	-1.0042149344812088	186
xh	0.171	-13.117680403642204	-1.013035841302592	187
glk	0.165	-28.207171952813546	-1.0058495761388635	188
bi	0.165	-41.97615796187199	-1.0039308028178728	189
iu	0.136	-41.80899872082253	-1.0032528882336584	190
ts	0.122	-34.47970408245202	-1.0035383134294964	191
tn	0.118	-24.109026349293945	-1.0048944324125912	192
sd	0.116	-13.053396522458204	-1.008886575980468	193
tyv	0.108	-41.0157796287709	-1.0026331329302403	194
ik	0.108	-42.01711111845843	-1.0025703813785654	195
lg	0.079	-40.163480029649584	-1.0019669610288173	196
